Sequence,Level,Label,definition
020,2,Library and information sciences,"The interdisciplinary field that systematically studies the principles, theories, and practices involved in the organization, management, preservation, and dissemination of recorded knowledge and information resources across various institutional settings, encompassing information behavior, knowledge organization systems, information retrieval, collection development, and user-centered services."
020,3,Library and information sciences,"The interdisciplinary field that systematically studies the principles, theories, and practices involved in the organization, management, preservation, and dissemination of recorded knowledge and information resources across various institutional settings, encompassing information behavior, knowledge organization systems, information retrieval, collection development, and user-centered services."
021,3,"Library relationships (with archives, information centers, etc.)","The study and practice of collaborative frameworks, partnerships, and inter-institutional connections between libraries and related information organizations such as archives, museums, information centers, and cultural heritage institutions, focusing on resource sharing, cooperative collection development, integrated access systems, and coordinated service delivery to enhance information accessibility and preservation."
022,3,Administration of physical plant,"The systematic management and operational oversight of library facilities, buildings, and physical infrastructure, including space planning, environmental controls, maintenance scheduling, safety compliance, accessibility features, and the integration of physical spaces with technological systems to support optimal information service delivery and user experience."
023,3,Personnel management,"The specialized application of human resource principles and practices within library and information organizations, encompassing staff recruitment, training and development, performance evaluation, professional ethics, labor relations, diversity initiatives, and leadership development tailored to information service environments and evolving technological competencies."
025,3,Library operations,"The practical implementation and daily execution of core library functions and services, including circulation systems, reference services, interlibrary loan processes, technical services workflows, user assistance programs, and the integration of digital and physical service points to facilitate efficient information access and knowledge dissemination."
026,3,Libraries for specific subjects,"Specialized information institutions or collections focused on particular disciplines, fields of study, or subject areas, characterized by tailored collection development policies, subject-specific classification schemes, specialized reference services, and expert staff knowledge to support research and information needs within defined academic, professional, or thematic domains."
027,3,General libraries,"Comprehensive information institutions that provide broad-based collections and services across multiple subject areas and formats, designed to serve diverse user populations with varied information needs through balanced collection development, general reference assistance, and programs supporting literacy, lifelong learning, and community information access."
028,3,Reading and use of other information media,"The study of information consumption behaviors, literacy practices, and user interactions with various knowledge formats beyond traditional print materials, encompassing digital literacy, multimedia comprehension, information evaluation skills, and the pedagogical approaches to developing effective information use competencies across different media platforms and formats."
030,2,Encyclopedias and books of facts,"Comprehensive reference works that systematically compile factual information across multiple domains of knowledge, typically organized alphabetically or thematically to provide authoritative summaries, definitions, and explanations of concepts, events, people, and phenomena for general educational or research purposes."
030,3,General encyclopedic works,"Comprehensive reference works that systematically compile factual information across multiple domains of knowledge, typically organized alphabetically or thematically to provide authoritative summaries, definitions, and explanations of concepts, events, people, and phenomena for general educational or research purposes."
031,3,Encyclopedias in American English,"Comprehensive reference works written specifically in American English, characterized by their use of American spelling conventions, terminology, and cultural references, designed to serve primarily American audiences while maintaining the systematic compilation of factual information across multiple knowledge domains."
032,3,Encyclopedias in English,"Comprehensive reference works written in the English language, encompassing both British and American English variants, that systematically compile factual information across multiple knowledge domains for English-speaking audiences worldwide, serving as authoritative sources for education and research."
033,3,Encyclopedias in other Germanic languages,"Comprehensive reference works written in Germanic languages other than English, such as German, Dutch, Afrikaans, Yiddish, and Frisian, that systematically compile factual information across multiple knowledge domains while reflecting the linguistic structures and cultural contexts specific to these language families."
034,3,"Encyclopedias in French, Occitan, and Catalan","Comprehensive reference works written in the Romance languages of French, Occitan, and Catalan, which share historical linguistic connections and cultural influences from the Gallo-Romance and Occitano-Romance language groups, systematically compiling factual information across multiple knowledge domains for speakers of these languages."
035,3,"Encyclopedias in Italian, Romanian, and related languages","Comprehensive reference works written in the Italo-Romance and Eastern Romance language groups, primarily Italian and Romanian, along with closely related languages such as Sardinian, Corsican, and Dalmatian, that systematically compile factual information across multiple knowledge domains while reflecting the distinct linguistic and cultural traditions of Southern Europe."
036,3,Encyclopedias in Spanish and Portuguese,"Comprehensive reference works written in the Ibero-Romance languages of Spanish and Portuguese, which share common Latin roots and historical development on the Iberian Peninsula, systematically compiling factual information across multiple knowledge domains for the global communities of Spanish and Portuguese speakers."
037,3,Encyclopedias in Slavic languages,"Comprehensive reference works written in Slavic languages including Russian, Polish, Czech, Ukrainian, Serbian, Croatian, Bulgarian, and other related languages, that systematically compile factual information across multiple knowledge domains while incorporating the linguistic structures and cultural perspectives characteristic of Slavic-speaking regions."
038,3,Encyclopedias in Scandinavian languages,"Comprehensive reference works written in the North Germanic languages of Scandinavia, including Swedish, Danish, Norwegian, Icelandic, and Faroese, that systematically compile factual information across multiple knowledge domains while reflecting the shared linguistic heritage and cultural contexts of the Nordic region."
039,3,Encyclopedias in other languages,"Comprehensive reference works written in languages not covered by the specific Germanic, Romance, Slavic, or Scandinavian language categories, encompassing a diverse range of linguistic families including but not limited to Uralic, Turkic, Semitic, Sino-Tibetan, Austronesian, and indigenous languages, that systematically compile factual information across multiple knowledge domains for their respective language communities."
050,2,"Magazines, journals and serials","Periodical publications issued at regular intervals that contain articles, research papers, news, or commentary on specific subjects or general interest topics, characterized by their ongoing publication schedule and typically featuring contributions from multiple authors addressing current developments within defined fields or broader cultural contexts."
050,3,General serial publications,"Periodical publications issued at regular intervals that contain articles, research papers, news, or commentary on specific subjects or general interest topics, characterized by their ongoing publication schedule and typically featuring contributions from multiple authors addressing current developments within defined fields or broader cultural contexts."
051,3,Serials in American English,"Periodical publications written primarily in the American English dialect, reflecting the linguistic conventions, spelling, vocabulary, and stylistic norms specific to the United States, encompassing publications ranging from academic journals to popular magazines that utilize this distinct regional variant of the English language."
052,3,Serials in English,"Periodical publications produced in the English language without specific regional designation, representing the global corpus of English-language serials that may follow either British or international English conventions, serving as the primary medium for scholarly communication, news dissemination, and cultural discourse across English-speaking communities worldwide."
053,3,Serials in other Germanic languages,"Periodical publications written in Germanic languages excluding English and Scandinavian languages, encompassing publications in languages such as German, Dutch, Afrikaans, Yiddish, and Frisian, which share common linguistic roots and structural features derived from Proto-Germanic, serving distinct linguistic communities with their own publishing traditions and scholarly networks."
054,3,"Serials in French, Occitan, and Catalan","Periodical publications produced in the Romance languages of French, Occitan, and Catalan, representing publications from regions where these languages are spoken natively or have official status, including France, Belgium, Switzerland, Canada, Andorra, and parts of Spain and Italy, each with distinct publishing traditions and linguistic characteristics."
055,3,"Serials in Italian, Romanian, and related languages","Periodical publications written in Italian, Romanian, and other Eastern Romance languages such as Sardinian and Dalmatian, encompassing publications from Italy, Romania, Moldova, and surrounding regions where these languages evolved from Vulgar Latin with distinct phonological and grammatical developments, serving as important vehicles for cultural expression and scholarly communication in Southern and Eastern Europe."
056,3,Serials in Spanish and Portuguese,"Periodical publications produced in the Ibero-Romance languages of Spanish and Portuguese, representing publications from Spain, Portugal, Latin America, and other regions where these languages have spread through colonization and cultural influence, characterized by their global reach and significant contributions to literature, science, and journalism across multiple continents."
057,3,Serials in Slavic languages,"Periodical publications written in Slavic languages including Russian, Polish, Czech, Slovak, Ukrainian, Belarusian, Bulgarian, Serbian, Croatian, Slovenian, and Macedonian, encompassing publications from Eastern Europe and parts of Central Europe where these languages form a distinct branch of the Indo-European family, serving diverse linguistic communities with rich literary and scholarly traditions."
058,3,Serials in Scandinavian languages,"Periodical publications produced in the North Germanic languages of Danish, Norwegian, Swedish, Icelandic, and Faroese, representing publications from Scandinavia and the Nordic countries where these closely related languages are spoken, characterized by mutual intelligibility to varying degrees and shared cultural heritage while maintaining distinct national publishing traditions."
059,3,Serials in other languages,"Periodical publications written in languages not covered by the specific Germanic, Romance, or Slavic language categories, encompassing publications in languages from diverse language families including but not limited to Uralic, Turkic, Semitic, Sino-Tibetan, Austronesian, Dravidian, and indigenous languages worldwide, representing the global diversity of serial publications across all linguistic communities."
060,2,"Associations, organizations and museums","The systematic study and practice of formal institutions and collective entities established to advance specific interests, disciplines, or cultural preservation through coordinated activities, encompassing both professional societies that facilitate knowledge exchange and advocacy groups that promote particular causes, as well as museums that systematically collect, conserve, and exhibit objects of historical, scientific, or artistic significance."
060,3,General organizations and museum science,"The systematic study and practice of formal institutions and collective entities established to advance specific interests, disciplines, or cultural preservation through coordinated activities, encompassing both professional societies that facilitate knowledge exchange and advocacy groups that promote particular causes, as well as museums that systematically collect, conserve, and exhibit objects of historical, scientific, or artistic significance."
061,3,Organizations in North America,"Formal institutions and collective entities established within North America to advance specific interests, disciplines, or cultural preservation through coordinated activities, including professional societies that facilitate knowledge exchange and advocacy groups that promote particular causes within the geographic boundaries of Canada, the United States, Mexico, and associated territories."
062,3,Organizations in British Isles; in England,"Formal institutions and collective entities established within the British Isles, with particular focus on England, to advance specific interests, disciplines, or cultural preservation through coordinated activities, including professional societies that facilitate knowledge exchange and advocacy groups that promote particular causes within this distinct geographic and cultural region."
063,3,Organizations in central Europe; in Germany,"Formal institutions and collective entities established within central Europe, with particular focus on Germany, to advance specific interests, disciplines, or cultural preservation through coordinated activities, including professional societies that facilitate knowledge exchange and advocacy groups that promote particular causes within this historically significant geographic and cultural region."
064,3,Organizations in France and Monaco,"Formal institutions and collective entities established within France and Monaco to advance specific interests, disciplines, or cultural preservation through coordinated activities, including professional societies that facilitate knowledge exchange and advocacy groups that promote particular causes within these closely associated political and cultural entities."
065,3,Organizations in Italy and adjacent islands,"Formal institutions and collective entities established within Italy and its adjacent islands to advance specific interests, disciplines, or cultural preservation through coordinated activities, including professional societies that facilitate knowledge exchange and advocacy groups that promote particular causes within this Mediterranean region with its distinctive cultural heritage."
066,3,Organizations in Iberian Peninsula and adjacent islands,"Formal institutions and collective entities established within the Iberian Peninsula and its adjacent islands to advance specific interests, disciplines, or cultural preservation through coordinated activities, including professional societies that facilitate knowledge exchange and advocacy groups that promote particular causes within this southwestern European region encompassing Spain, Portugal, Andorra, and associated island territories."
067,3,Organizations in eastern Europe; in Russia,"Formal institutions and collective entities established within eastern Europe, with particular focus on Russia, to advance specific interests, disciplines, or cultural preservation through coordinated activities, including professional societies that facilitate knowledge exchange and advocacy groups that promote particular causes within this expansive geographic and cultural region."
068,3,Organizations in other geographic areas,"Formal institutions and collective entities established within geographic regions not specifically covered by other organizational classifications, including professional societies that facilitate knowledge exchange and advocacy groups that promote particular causes in areas such as Asia, Africa, Oceania, South America, the Middle East, and other global regions with distinct organizational landscapes."
069,3,Museum science,"The interdisciplinary field concerned with the systematic study and professional practice of museum operations, encompassing the collection, conservation, documentation, research, interpretation, and exhibition of objects of historical, scientific, or artistic significance, as well as the management and educational functions of museums as cultural institutions."
070,2,"News media, journalism, and publishing","The industries and practices involved in gathering, verifying, producing, and distributing current information to public audiences through various channels, encompassing news reporting that investigates and documents events, editorial processes that prepare content for dissemination, and the business operations that make information products commercially available to readers and viewers."
070,3,"News media, journalism, and publishing","The industries and practices involved in gathering, verifying, producing, and distributing current information to public audiences through various channels, encompassing news reporting that investigates and documents events, editorial processes that prepare content for dissemination, and the business operations that make information products commercially available to readers and viewers."
071,3,Newspapers in North America,"The periodical publications in North America that report on current events, providing daily or weekly printed coverage of local, national, and international news, typically following journalistic standards of verification and serving as primary information sources for public audiences across the continent."
072,3,Newspapers in British Isles; in England,"The periodical publications in the British Isles, with particular focus on England, that document current affairs through printed media, reflecting the region's historical development of press freedom and serving as established channels for public information distribution with distinctive editorial traditions."
073,3,Newspapers in central Europe; in Germany,"The periodical publications in central Europe, with specific emphasis on Germany, that provide regular printed coverage of current events, operating within the region's media landscape and contributing to public discourse through news reporting that reflects central European perspectives and journalistic practices."
074,3,Newspapers in France and Monaco,"The periodical publications in France and Monaco that report on current events through printed media, operating within the Francophone journalistic tradition and serving as primary sources of public information while reflecting the cultural and political contexts of these specific geographic areas."
075,3,Newspapers in Italy and adjacent islands,"The periodical publications in Italy and its surrounding islands that document current affairs through printed media, providing regular news coverage that reflects Italian journalistic traditions and serves public information needs across the Italian peninsula and its immediate island territories."
076,3,Newspapers in Iberian peninsula and adjacent islands,"The periodical publications in the Iberian Peninsula and its nearby islands that report on current events through printed media, operating within the Spanish and Portuguese linguistic and cultural contexts while serving as primary information channels for public audiences in these specific geographic regions."
077,3,Newspapers in eastern Europe; in Russia,"The periodical publications in eastern Europe, with particular focus on Russia, that provide printed coverage of current events, operating within the region's media environments and serving as information sources that reflect eastern European perspectives and journalistic approaches to news reporting."
078,3,Newspapers in Scandinavia,"The periodical publications in Scandinavia that document current affairs through printed media, providing regular news coverage that reflects Nordic journalistic traditions and serves public information needs across the Scandinavian region with its distinctive media characteristics."
079,3,Newspapers in other geographic areas,"The periodical publications in geographic regions not specifically covered by the preceding categories that report on current events through printed media, encompassing newspapers from diverse global locations that serve as primary information sources for their respective public audiences while operating within varied cultural and journalistic contexts."
080,2,Quotations,"Systematic compilations of memorable or significant statements originally uttered or written by specific individuals, organized by speaker, subject, or theme to preserve notable expressions of thought, wisdom, or cultural insight for reference, illustration, or literary appreciation purposes, encompassing comprehensive anthologies that span multiple languages, cultures, or thematic approaches without restriction to specific linguistic or regional boundaries."
080,3,General collections,"Systematic compilations of memorable or significant statements originally uttered or written by specific individuals, organized by speaker, subject, or theme to preserve notable expressions of thought, wisdom, or cultural insight for reference, illustration, or literary appreciation purposes, encompassing comprehensive anthologies that span multiple languages, cultures, or thematic approaches without restriction to specific linguistic or regional boundaries."
081,3,Collections in American English,"Compilations of notable quotations specifically within the American English linguistic tradition, capturing expressions from historical figures, cultural icons, and contemporary voices that reflect the unique historical development, regional variations, and cultural contexts of the United States, including distinctive American idioms, political rhetoric, literary expressions, and popular sayings that have emerged within this specific national and linguistic framework."
082,3,Collections in English,"Anthologies of significant quotations within the broader English language tradition, encompassing expressions from British, Commonwealth, and global English-speaking contexts, documenting the evolution of English thought, literature, and culture through memorable statements from historical periods, literary movements, political developments, and intellectual traditions across the English-speaking world."
083,3,Collections in other Germanic languages,"Compilations of notable quotations in Germanic languages excluding English, including German, Dutch, Afrikaans, Yiddish, and other related languages, preserving expressions that reflect the cultural, philosophical, literary, and historical traditions of Germanic-speaking peoples, with attention to linguistic characteristics, regional variations, and cultural contexts specific to these language families."
084,3,"Collections in French, Occitan, Catalan","Anthologies of significant quotations within the Gallo-Romance linguistic tradition, encompassing French expressions from France, Francophone regions, and historical periods, along with Occitan and Catalan quotations that represent the distinct cultural and linguistic heritage of Southern France, Catalonia, and related regions, documenting philosophical, literary, political, and cultural expressions within these specific Romance language traditions."
085,3,"Collections in Italian, Romanian, and related languages","Compilations of notable quotations within the Italo-Romance and Eastern Romance language families, including Italian expressions reflecting Italy's rich literary, artistic, and historical traditions, Romanian quotations representing Daco-Romance linguistic and cultural heritage, and related languages that share linguistic and cultural connections within this specific branch of Romance languages."
086,3,Collections in Spanish and Portuguese,"Anthologies of significant quotations within the Ibero-Romance linguistic tradition, encompassing Spanish expressions from Spain and Latin America, Portuguese quotations from Portugal and Lusophone regions, and related linguistic variations, documenting the literary, historical, cultural, and philosophical traditions of Spanish and Portuguese-speaking peoples across multiple continents and historical periods."
087,3,Collections in Slavic languages,"Compilations of notable quotations within the Slavic language family, including Russian, Polish, Czech, Slovak, Ukrainian, Bulgarian, Serbian, Croatian, and other Slavic languages, preserving expressions that reflect the diverse cultural, literary, philosophical, and historical traditions of Slavic peoples, with attention to linguistic characteristics and cultural contexts specific to Eastern, Western, and Southern Slavic language groups."
088,3,Collections in Scandinavian languages,"Anthologies of significant quotations within the North Germanic language family, encompassing Danish, Norwegian, Swedish, Icelandic, and Faroese expressions, documenting the literary, historical, cultural, and philosophical traditions of Scandinavian peoples, with attention to both modern expressions and historical texts that reflect the shared and distinct cultural heritage of Nordic countries."
089,3,Collections in other languages,"Compilations of notable quotations in languages not covered by the specific linguistic categories above, encompassing a diverse range of language families including but not limited to Uralic, Turkic, Semitic, Sino-Tibetan, Dravidian, Austronesian, African language families, indigenous languages, classical languages, and other linguistic traditions, preserving expressions that reflect the global diversity of human thought, culture, and literary expression across all remaining linguistic traditions."
090,2,Manuscripts and rare books,"The comprehensive field encompassing unique or historically significant written documents and printed materials valued for their age, scarcity, physical characteristics, or cultural importance, including handwritten texts produced before the widespread adoption of printing, early printed works from the incunabula period, and volumes distinguished by exceptional bindings, illustrations, provenance, or format that merit special preservation and study."
090,3,Manuscripts and rare books,"The comprehensive field encompassing unique or historically significant written documents and printed materials valued for their age, scarcity, physical characteristics, or cultural importance, including handwritten texts produced before the widespread adoption of printing, early printed works from the incunabula period, and volumes distinguished by exceptional bindings, illustrations, provenance, or format that merit special preservation and study."
091,3,Manuscripts,"Handwritten documents produced before the widespread adoption of printing technology, typically created by scribes or authors using materials such as parchment, vellum, or paper, and valued for their historical, cultural, or artistic significance, often including illuminated texts, codices, scrolls, and other pre-print era written works."
092,3,Block books,"Early printed books produced using woodblock printing techniques where entire pages were carved from single blocks of wood, representing a transitional technology between manuscript production and movable type printing, typically created in Europe during the mid-15th century and characterized by their integration of text and images carved together on the same block."
093,3,Incunabula,"Books, pamphlets, and broadsides printed in Europe using movable type before the year 1501, representing the earliest phase of mechanical book production and characterized by their transitional features between manuscript and printed book traditions, including the use of blackletter typefaces, rubrication, and hand-illumination."
094,3,Printed books,"Books produced through mechanical printing processes using movable type or later printing technologies, distinguished from manuscripts by their method of production and typically valued for their historical significance, rarity, or unique characteristics within the broader context of book history and printing technology development."
095,3,Books notable for bindings,"Volumes distinguished primarily by their coverings and structural elements, including exceptional examples of bookbinding artistry, historical binding techniques, or bindings with significant decorative, material, or structural features that contribute to the book's value and importance as a physical artifact."
096,3,Books notable for illustrations,"Works valued for their pictorial content and graphic elements, including books with significant artistic illustrations, important examples of printing illustration techniques, or volumes where the visual components represent major achievements in book art, whether through woodcuts, engravings, lithographs, or other reproductive methods."
097,3,Books notable for ownership or origin,"Volumes distinguished by their provenance, association, or place of production, including books owned by significant historical figures, bearing important inscriptions or annotations, originating from notable presses or publishing centers, or having documented histories that enhance their cultural and historical significance beyond their textual content."
098,3,"Prohibited works, forgeries, and hoaxes","Books and documents that have been banned, suppressed, or censored by authorities; volumes created with intent to deceive through imitation or falsification of content or authorship; and works produced as deliberate fabrications or practical jokes, all studied for their historical, cultural, and bibliographical significance within the context of book history and censorship."
099,3,Books notable for format,"Volumes distinguished by their physical dimensions, layout, or structural organization, including miniature books, oversized folios, unusual page arrangements, or innovative book designs that represent significant departures from standard formats and contribute to the book's importance as a physical object and example of book production technology."
100,1,Philosophy and psychology,"The systematic rational inquiry into fundamental questions concerning existence, knowledge, values, reason, mind, and language, employing critical analysis, logical argumentation, and conceptual clarification to examine the nature of reality, human experience, and ethical principles."
100,2,Philosophy,"The systematic rational inquiry into fundamental questions concerning existence, knowledge, values, reason, mind, and language, employing critical analysis, logical argumentation, and conceptual clarification to examine the nature of reality, human experience, and ethical principles."
100,3,Philosophy and psychology,"The systematic rational inquiry into fundamental questions concerning existence, knowledge, values, reason, mind, and language, employing critical analysis, logical argumentation, and conceptual clarification to examine the nature of reality, human experience, and ethical principles."
101,3,Theory of philosophy,"The foundational examination of philosophical methodology, concepts, and principles that underpin philosophical inquiry itself, including the study of logic, epistemology, metaphysics, ethics, and aesthetics as formal systems of thought."
102,3,Miscellany,"Collections of philosophical writings, thoughts, or materials that do not fit into established systematic categories, often including aphorisms, fragments, personal reflections, or diverse philosophical content organized thematically rather than by formal philosophical discipline."
103,3,Dictionaries and encyclopedias,"Reference works that systematically define philosophical terms, concepts, movements, and figures, providing authoritative explanations of philosophical vocabulary and comprehensive overviews of philosophical knowledge organized alphabetically or thematically."
105,3,Serial publications,"Periodical publications in philosophy issued in successive parts at regular intervals, including academic journals, yearbooks, monograph series, and conference proceedings that disseminate ongoing philosophical research and scholarly discourse."
106,3,Organizations and management,"The study and practice of institutional structures, administrative systems, and collective endeavors within philosophical communities, including professional associations, research institutes, academic departments, and their operational frameworks."
107,3,"Education, research, related topics of philosophy","The pedagogical methods, curricular development, research methodologies, and practical applications of philosophical inquiry, encompassing how philosophy is taught, studied, investigated, and implemented in various contexts beyond pure theoretical discourse."
108,3,Groups of people,"Collections of individuals united by shared philosophical interests, affiliations, or characteristics, including philosophical schools, movements, professional communities, demographic groups within philosophy, and collective biographical studies of philosophers."
109,3,History and collected biography,"The chronological study of philosophical development across time and cultures, along with comprehensive biographical accounts of philosophers, tracing the evolution of ideas, movements, and intellectual traditions through historical narrative and life stories."
110,2,Metaphysics,"The branch of philosophy concerned with the fundamental nature of reality, existence, and being, investigating concepts such as ontology (the study of what exists), cosmology (the nature of the universe), space, time, change, structure, and the principles governing force, energy, number, and quantity."
110,3,Metaphysics,"The branch of philosophy concerned with the fundamental nature of reality, existence, and being, investigating concepts such as ontology (the study of what exists), cosmology (the nature of the universe), space, time, change, structure, and the principles governing force, energy, number, and quantity."
111,3,Ontology,"The philosophical study of being, existence, and reality, examining what entities exist or can be said to exist, how such entities can be grouped, related within a hierarchy, and subdivided according to similarities and differences."
113,3,Cosmology (Philosophy of nature),"The philosophical investigation of the origin, structure, and ultimate fate of the universe as a whole, examining the fundamental principles governing natural phenomena and the systematic order of the cosmos."
114,3,Space,"The philosophical examination of the fundamental nature of spatial dimensions, relationships, and properties, investigating whether space exists independently of objects within it, its geometrical structure, and its role in physical reality."
115,3,Time,"The philosophical inquiry into the nature of temporal passage, duration, and succession, examining whether time flows objectively, its relationship to change and causality, and the metaphysical status of past, present, and future."
116,3,Change,"The philosophical study of alteration, transformation, and becoming in entities over time, investigating the persistence of identity through change, the nature of processes versus events, and the metaphysical principles governing transformation."
117,3,Structure,"The philosophical analysis of the organization, arrangement, and relationships between parts within wholes, examining how components relate to form complex entities and the metaphysical principles governing composition and organization."
118,3,Force and energy,"The philosophical investigation of causal powers, capacities, and dynamic principles in nature, examining the metaphysical foundations of physical interactions, the nature of causation, and the fundamental principles governing motion and transformation."
119,3,Number and quantity,"The philosophical study of numerical and quantitative aspects of reality, examining the metaphysical status of numbers, the nature of measurement, and the fundamental principles governing magnitude, proportion, and mathematical relationships in the physical world."
120,2,Epistemology,"The philosophical study of knowledge, belief, and justification, examining the nature, sources, and limits of human understanding, including theories of causation, determinism, teleology, the nature of the self, consciousness, and the relationship between mind and reality."
