Sentence,Original_Entity,Predicted_Entity
"Red O'Quinn , WR","[""Red O'Quinn"", (13438, 13439), 'ORG']","[""Red O'Quinn"", 0, 'PERSON']"
Jacques Philippe Maraldi ( 1665Ã¢ÂÂ1729 ),"['Jacques Philippe Maraldi', (13463, 13465), 'ORG']","['Jacques Philippe Maraldi', 0, 'PERSON']"
"Cheras Highway , Kajang-Seremban Highway","['Cheras Highway', (13503, 13504), 'ORG']","['Cheras Highway', 0, 'PERSON']"
Santa Margherita Ligure to La Spezia,"['Santa Margherita Ligure', (13536, 13538), 'LOC']","['Santa Margherita Ligure', 0, 'ORG']"
*Youngest player : ' '' RÃÂ³nald GonzÃÂ¡lez Brenes '' ' ( Costa Rica ) ( 19 years 307 days ),"['Costa Rica', (13697, 13698), 'ORG']","['Costa Rica', 60, 'LOC']"
'' Tippeligaen : ' '',"['Tippeligaen', (13723, 13723), 'ORG']","['Tippeligaen', 3, 'LOC']"
** Fresno Municipal Sanitary Landfill closes .,"['Fresno Municipal Sanitary Landfill', (13911, 13914), 'LOC']","['Fresno Municipal Sanitary Landfill', 3, 'ORG']"
' '' Crimean Khanate '' ' Ã¢ÂÂ,"['Crimean Khanate', (14087, 14088), 'LOC']","['Crimean Khanate', 5, 'PERSON']"
It is also a Ramsar site .,"['Ramsar site', (14190, 14191), 'ORG']","['Ramsar site', 13, 'LOC']"
"Some of his other choices were Akron , Toledo , Bowling Green , and Dayton .","['Akron', (14308, 14308), 'ORG']","['Akron', 31, 'LOC']"
"Some of his other choices were Akron , Toledo , Bowling Green , and Dayton .","['Bowling Green', (14312, 14313), 'ORG']","['Bowling Green', 48, 'PERSON']"
'' TÃÂ¼rkiye KupasÃÂ± : ( record ) ' '',"['TÃ\x83Â¼rkiye KupasÃ\x84Â±', (14348, 14349), 'ORG']","['TÃ\x83Â¼rkiye KupasÃ\x84Â±', 3, 'PERSON']"
The 16-car N sets are operated by JR West on Tokaido and Sanyo Shinkansen services .,"['Sanyo Shinkansen', (14374, 14375), 'ORG']","['Sanyo Shinkansen', 57, 'PERSON']"
"Abadan ( , )","['Abadan', (14534, 14534), 'ORG']","['Abadan', 0, 'LOC']"
"Central Maine Community College in Auburn , Maine in Bangor , Maine in Fairfield and Hinckley , Northern Maine Community College in Presque Isle , Maine in South Portland and Brunswick , Washington County Community College in Calais , Maine in Wells , Maine","['Hinckley', (14569, 14569), 'ORG']","['Hinckley', 85, 'LOC']"
Kill Bill Vol. 1 by RZA from the Wu-Tang Clan,"['RZA', (14603, 14603), 'PERSON']","['RZA', 20, 'ORG']"
"2Ã¢ÂÂ1 ( win ) ( 12 November 2009 Ã¢ÂÂ Estadio Centenario , Montevideo )","['Estadio Centenario', (14722, 14723), 'ORG']","['Estadio Centenario', 43, 'PERSON']"
"DÃÂ­a de la Chupina ( Rosario , Argentina )","['Rosario', (14936, 14936), 'ORG']","['Rosario', 23, 'LOC']"
"| USAF 45th Tactical Fighter Squadron ( TFS ) , 389th TFS , 390th TFS , 433rd TFS , 480th TFS , 555th TFS","['433rd TFS', (15005, 15006), 'ORG']","['433rd TFS', 72, 'PERSON']"
"| USAF 45th Tactical Fighter Squadron ( TFS ) , 389th TFS , 390th TFS , 433rd TFS , 480th TFS , 555th TFS","['480th TFS', (15008, 15009), 'ORG']","['480th TFS', 84, 'PERSON']"
"Upper Chanakhchi , Lar , Charhad and Lower Chanakhchi .","['Upper Chanakhchi', (15078, 15079), 'LOC']","['Upper Chanakhchi', 0, 'ORG']"
"Upper Chanakhchi , Lar , Charhad and Lower Chanakhchi .","['Lower Chanakhchi', (15085, 15086), 'LOC']","['Lower Chanakhchi', 37, 'ORG']"
CV - From Folketinget .,"['Folketinget', (15166, 15166), 'ORG']","['Folketinget', 10, 'LOC']"
"Aqueduct , Tulsa , Oklahoma","['Aqueduct', (15197, 15197), 'ORG']","['Aqueduct', 0, 'LOC']"
127 Alfa Romeo '',"['Alfa Romeo', (15239, 15240), 'ORG']","['Alfa Romeo', 4, 'PERSON']"
"Savage Sword of Conan '' 20 , 37 , 53 , 88 , 93 , 96 , 98 , 107 , 114-115 , 121 , 127 ( 1977-1986 )","['Savage Sword of Conan', (15283, 15286), 'ORG']","['Savage Sword of Conan', 0, 'PERSON']"
Penelopides mindorensis '' ( Mindoro hornbill ),"['Penelopides mindorensis', (15323, 15324), 'ORG']","['Penelopides mindorensis', 0, 'LOC']"
' '' Graeme Connors '' ',"['Graeme Connors', (15538, 15539), 'PERSON']","['Graeme Connors', 5, 'ORG']"
Febris Erotica '' ( 1999 ),"['Febris Erotica', (15550, 15551), 'ORG']","['Febris Erotica', 0, 'PERSON']"
' '' Program of the Year '' ' : Signpost '',"['Signpost', (15587, 15587), 'ORG']","['Signpost', 32, 'LOC']"
"' '' House Speaker '' ' : Ramon Mitra , Jr .","['House Speaker', (15634, 15635), 'ORG']","['House Speaker', 5, 'PERSON']"
Direct descendant of Confucius .,"['Confucius', (15703, 15703), 'PERSON']","['Confucius', 21, 'LOC']"
The first event was held at the Daytona International Speedway in 1963 .,"['Daytona International Speedway', (15748, 15750), 'LOC']","['Daytona International Speedway', 32, 'ORG']"
Executed by Galba in 69 AD .,"['Galba', (16014, 16014), 'PERSON']","['Galba', 12, 'LOC']"
' '' Carolina Panthers '' ',"['Carolina Panthers', (16199, 16200), 'ORG']","['Carolina Panthers', 5, 'PERSON']"
"President of Chile : Federico ErrÃÂ¡zuriz Echaurren ( until July 12 ) , AnÃÂ­bal ZaÃÂ±artu ( until September 18 ) , GermÃÂ¡n Riesco","['Federico ErrÃ\x83Â¡zuriz Echaurren', (16207, 16209), 'PERSON']","['Federico ErrÃ\x83Â¡zuriz Echaurren', 21, 'ORG']"
"Worthing , England , United Kingdom","['Worthing , England', (16232, 16234), 'ORG']","['Worthing , England', 0, 'LOC']"
'' Ha-Tsefirah '' ( lit .,"['Ha-Tsefirah', (16383, 16383), 'ORG']","['Ha-Tsefirah', 3, 'LOC']"
"He was based in Pune and Bombay for most of his life , till he migrated to the United States of America in 1984 .","['Bombay', (16394, 16394), 'ORG']","['Bombay', 25, 'LOC']"
"Dirk Kempthorne Ã¢ÂÂ former United States Secretary of the Interior , former United States Senator and Governor of Idaho , Boise ''","['Governor of Idaho', (16429, 16431), 'ORG']","['Governor of Idaho', 105, 'PERSON']"
"`` Wake Up Little Susie '' ( Felice Bryant , Boudleaux Bryant ) Ã¢ÂÂ 1:42","['Felice Bryant', (16472, 16473), 'ORG']","['Felice Bryant', 29, 'PERSON']"
"`` Wake Up Little Susie '' ( Felice Bryant , Boudleaux Bryant ) Ã¢ÂÂ 1:42","['Boudleaux Bryant', (16475, 16476), 'ORG']","['Boudleaux Bryant', 45, 'PERSON']"
"According to an interview with Playboy '' , he attended Fishburne Military School in Waynesboro , Virginia , graduating in 1964 .","['Playboy', (16582, 16582), 'ORG']","['Playboy', 31, 'LOC']"
Esquina Department : Esquina ( km 684 ),"['Esquina Department', (16602, 16603), 'LOC']","['Esquina Department', 0, 'ORG']"
' '' ''Adriana Partimpim '' ' '' is an album by the Brazilian singer and songwriter Adriana Calcanhotto .,"['Brazilian', (16659, 16659), 'ORG']","['Brazilian', 52, 'LOC']"
"He was later adopted by William Fox , who later became the Premier of New Zealand .","['Premier of New Zealand', (16718, 16721), 'ORG']","['Premier of New Zealand', 59, 'LOC']"
Dicrurus montanus '' ( Sulawesi drongo ) - LC,"['Dicrurus montanus', (16749, 16750), 'ORG']","['Dicrurus montanus', 0, 'LOC']"
"Washington D.C . , United States","['Washington D.C .', (16774, 16776), 'ORG']","['Washington D.C .', 0, 'LOC']"
All Grown Up ! '',"['All Grown Up !', (16815, 16818), 'PERSON']","['All Grown Up !', 0, 'ORG']"
Both buildings were designed by prominent local architect Reuben Harrison Hunt .,"['Reuben Harrison Hunt', (16969, 16971), 'ORG']","['Reuben Harrison Hunt', 58, 'PERSON']"
"In 1989 , the United States Congress passed the Nevada Wilderness Protection Act establishing over of the range as the East Humboldt Wilderness .","['East Humboldt Wilderness', (17022, 17024), 'LOC']","['East Humboldt Wilderness', 119, 'ORG']"
** Seward Highway ( Seward-Anchorage ) completed .,"['Seward Highway', (17083, 17084), 'ORG']","['Seward Highway', 3, 'PERSON']"
Daniel Frahn '' ( RB Leipzig ) '',"['RB Leipzig', (17137, 17138), 'ORG']","['RB Leipzig', 18, 'PERSON']"
"Ramsey Center Ã¢ÂÂ¢ Cullowhee , NC","['Ramsey Center', (17146, 17147), 'ORG']","['Ramsey Center', 0, 'PERSON']"
Tehachapi Mountains - on the northeast,"['Tehachapi Mountains', (17260, 17261), 'LOC']","['Tehachapi Mountains', 0, 'PERSON']"
"From the , 586 or 32.2 % were Roman Catholic , while 893 or 49.1 % belonged to the Swiss Reformed Church .","['Roman Catholic', (17315, 17316), 'ORG']","['Roman Catholic', 30, 'LOC']"
Itaparica ( South China ),"['South China', (17407, 17408), 'ORG']","['South China', 12, 'LOC']"
"Popular drivers during this period include Jimmie Johnson , Matt Kenseth , Tony Stewart , Dale Earnhardt Jr . , Jeff Gordon , and Kasey Kahne .","['Dale Earnhardt Jr .', (17544, 17547), 'ORG']","['Dale Earnhardt Jr .', 90, 'PERSON']"
TSV Buchbach ( 4 ),"['TSV Buchbach', (17566, 17567), 'ORG']","['TSV Buchbach', 0, 'PERSON']"
Leader of the Opposition in the Senate Ã¢ÂÂ CÃÂ©line Hervieux-Payette Ã¢ÂÂ 2007,"['Senate', (17728, 17728), 'ORG']","['Senate', 32, 'LOC']"
"The species is solely known from the Latest Paleocene sediments exposed in the Matanuska River Valley , Matanuska-Susitna Borough , Alaska .","['Latest Paleocene', (17760, 17761), 'ORG']","['Latest Paleocene', 37, 'LOC']"
'' Charaxes bubastis '',"['Charaxes bubastis', (17776, 17777), 'ORG']","['Charaxes bubastis', 3, 'LOC']"
"** Ahmad Qavam , Prime Minister of Iran ( 1952 )","['Prime Minister of Iran', (17816, 17819), 'PERSON']","['Prime Minister of Iran', 17, 'ORG']"
"Rugby Park , Kilmarnock ( H )","['Rugby Park', (17997, 17998), 'ORG']","['Rugby Park', 0, 'LOC']"
"The GDR played a total of 293 matches between 1952 and 1990 , facing 52 different countries .","['GDR', (18121, 18121), 'LOC']","['GDR', 4, 'ORG']"
"His successors were Thomas Sackville , 1st Earl of Dorset ( 1591Ã¢ÂÂ1608 ) ; Richard Bancroft ( Archbishop of Canterbury ) ( 1608Ã¢ÂÂ1610 ) ; Thomas Egerton , 1st Viscount Brackley ( 1610Ã¢ÂÂ1616 ) ; and William Herbert , 3rd Earl of Pembroke ( 1616Ã¢ÂÂ1630 ) .","['Archbishop of Canterbury', (18164, 18166), 'PERSON']","['Archbishop of Canterbury', 98, 'LOC']"
"He has appeared on Fox , Monday Night Football , ESPN 's SportsCenter '' , Extra '' , MTV , Evening Magazine '' , and Nickelodeon .","['Extra', (18315, 18315), 'ORG']","['Extra', 75, 'LOC']"
"He has appeared on Fox , Monday Night Football , ESPN 's SportsCenter '' , Extra '' , MTV , Evening Magazine '' , and Nickelodeon .","['Evening Magazine', (18320, 18321), 'ORG']","['Evening Magazine', 92, 'PERSON']"
"He has appeared on Fox , Monday Night Football , ESPN 's SportsCenter '' , Extra '' , MTV , Evening Magazine '' , and Nickelodeon .","['Nickelodeon', (18325, 18325), 'ORG']","['Nickelodeon', 118, 'LOC']"
"From the , 54 or 20.7 % were Roman Catholic , while 147 or 56.3 % belonged to the Swiss Reformed Church .","['Roman Catholic', (18419, 18420), 'ORG']","['Roman Catholic', 29, 'LOC']"
"**President - Iskander Mirza , President of Pakistan ( 1956Ã¢ÂÂ1958 )","['President of Pakistan', (18477, 18479), 'PERSON']","['President of Pakistan', 31, 'ORG']"
Punchline '' ( 2015 ),"['Punchline', (18541, 18541), 'ORG']","['Punchline', 0, 'LOC']"
18 crores and its dubbed version was released in Hindi language .,"['Hindi language', (18582, 18583), 'ORG']","['Hindi language', 49, 'LOC']"
The National Bank for Agriculture and Rural Development was,"['National Bank for Agriculture and Rural Development', (18933, 18939), 'LOC']","['National Bank for Agriculture and Rural Development', 4, 'ORG']"
"Conversely , Osama Bin Laden supported ''ijtihad '' .","['Osama Bin Laden', (19012, 19014), 'ORG']","['Osama Bin Laden', 13, 'PERSON']"
"The famous Henty brothers , James and Edward , were his great-uncles .","['Henty brothers', (19294, 19295), 'ORG']","['Henty brothers', 11, 'LOC']"
"The famous Henty brothers , James and Edward , were his great-uncles .","['Edward', (19299, 19299), 'PERSON']","['Edward', 38, 'LOC']"
"On January 26 , made the selection process at La Serena , where 2,000 people came .","['La Serena', (19340, 19341), 'LOC']","['La Serena', 46, 'ORG']"
Sebastian Henriksson Ã¢ÂÂ Odd Grenland Ã¢ÂÂ 2003Ã¢ÂÂ2005,"['Odd Grenland', (19351, 19352), 'ORG']","['Odd Grenland', 28, 'PERSON']"
** '' 1ÃÂº de Agosto '' ' 1Ã¢ÂÂ0 ( 1Ã¢ÂÂ1 ) FUS Rabat .,"['FUS Rabat', (19721, 19722), 'ORG']","['FUS Rabat', 49, 'PERSON']"
With Maccabi Haifa :,"['Maccabi Haifa', (19745, 19746), 'ORG']","['Maccabi Haifa', 5, 'PERSON']"
John Osborne Ã¢ÂÂ Luther '',"['Luther', (19785, 19785), 'ORG']","['Luther', 20, 'LOC']"
' '' Like Vines '' ' '',"['Like Vines', (19889, 19890), 'ORG']","['Like Vines', 5, 'PERSON']"
"He was born on November 30 , 1582 , most likely in Speyer , where his father was an official in the Reichskammergericht '' .","['Reichskammergericht', (19940, 19940), 'ORG']","['Reichskammergericht', 100, 'LOC']"
Matt Dabbs ( born ?,"['Matt Dabbs', (20015, 20016), 'ORG']","['Matt Dabbs', 0, 'PERSON']"
"It includes performances by Krizz Kaliko , Tech N9ne , Killer Mike , Capone-N-Noreaga , Sean T , Mistah F.A.B . , Jay Rock and Yukmouth , and a guest appearance from Keak da Sneak , among others .","['Yukmouth', (20125, 20125), 'PERSON']","['Yukmouth', 127, 'LOC']"
"It includes performances by Krizz Kaliko , Tech N9ne , Killer Mike , Capone-N-Noreaga , Sean T , Mistah F.A.B . , Jay Rock and Yukmouth , and a guest appearance from Keak da Sneak , among others .","['Keak da Sneak', (20132, 20134), 'PERSON']","['Keak da Sneak', 166, 'ORG']"
FBK Karlstad 2 22 8 1 13 40-48 25,"['FBK Karlstad', (20234, 20235), 'ORG']","['FBK Karlstad', 0, 'PERSON']"
"12 Notre Dame , 93-74 .","['Notre Dame', (20244, 20245), 'ORG']","['Notre Dame', 3, 'PERSON']"
'' 'Franklin '' ' is now West Point ( there is now another Franklin nearby ),"['Franklin', (20356, 20356), 'LOC']","['Franklin', 59, 'ORG']"
"By April 2001 , they had recorded and released their debut album , Lido '' .","['Lido', (20480, 20480), 'ORG']","['Lido', 67, 'LOC']"
Lajos FÃÂ¼r ( 1930Ã¢ÂÂ2013 ),"['Lajos FÃ\x83Â¼r', (20522, 20523), 'PERSON']","['Lajos FÃ\x83Â¼r', 0, 'LOC']"
Stuart Berry ( South Africa ),"['South Africa', (20633, 20634), 'ORG']","['South Africa', 15, 'LOC']"
"United States of America , Wyoming , Yellowstone National Park .","['Yellowstone National Park', (20705, 20707), 'LOC']","['Yellowstone National Park', 37, 'ORG']"
He was married to the daughter of Rabindranath Tagore 's brother .,"['Rabindranath Tagore', (20716, 20717), 'PERSON']","['Rabindranath Tagore', 34, 'LOC']"
"He was born on July 7 , 1923 , the son of Whitney North Seymour ( 1901Ã¢ÂÂ1983 ) .","['Whitney North Seymour', (20760, 20762), 'PERSON']","['Whitney North Seymour', 42, 'ORG']"
"Gymea Bay , an adjacent suburb","['Gymea Bay', (20796, 20797), 'LOC']","['Gymea Bay', 0, 'PERSON']"
"] In 1844 the Nativist Riots , in which several dozen people were killed , broke out .","['Nativist Riots', (20806, 20807), 'LOC']","['Nativist Riots', 14, 'ORG']"
And further of those of Karafuto ( 1892 ) :,"['Karafuto', (20954, 20954), 'ORG']","['Karafuto', 24, 'LOC']"
Kent State ( 1992 ),"['Kent State', (20969, 20970), 'ORG']","['Kent State', 0, 'PERSON']"
"Thereafter it passes through Whaley Bridge , New Mills ( where it is joined by the River Sett ) and Marple Bridge .","['Whaley Bridge', (21034, 21035), 'LOC']","['Whaley Bridge', 29, 'ORG']"
"Thereafter it passes through Whaley Bridge , New Mills ( where it is joined by the River Sett ) and Marple Bridge .","['River Sett', (21046, 21047), 'LOC']","['River Sett', 83, 'ORG']"
"Thereafter it passes through Whaley Bridge , New Mills ( where it is joined by the River Sett ) and Marple Bridge .","['Marple Bridge', (21050, 21051), 'LOC']","['Marple Bridge', 100, 'PERSON']"
' '' Manchester United '' ' '',"['Manchester United', (21069, 21070), 'ORG']","['Manchester United', 5, 'LOC']"
He also had a home on Martha 's Vineyard in Massachusetts .,"[""Martha 's Vineyard"", (21122, 21124), 'LOC']","[""Martha 's Vineyard"", 22, 'ORG']"
Individual U-21 Polish Championship :,"['Individual U-21 Polish Championship', (21250, 21253), 'ORG']","['Individual U-21 Polish Championship', 0, 'PERSON']"
Radar Love ( George Kooymans / Barry Hay ) 9:31,"['Radar Love', (21534, 21535), 'ORG']","['Radar Love', 0, 'PERSON']"
'' Hanayamata '' as Guest ( episode 7 ),"['Hanayamata', (21551, 21551), 'ORG']","['Hanayamata', 3, 'LOC']"
"It is most widely planted in the Chirpan , Preslav and Shumen regions around the Black Sea .","['Preslav', (21568, 21568), 'ORG']","['Preslav', 43, 'LOC']"
"On August 30 , 2014 he signed for Nea Salamina .","['Nea Salamina', (21591, 21592), 'ORG']","['Nea Salamina', 34, 'PERSON']"
She is friends with Zatanna and Phantom Stranger .,"['Zatanna', (21607, 21607), 'PERSON']","['Zatanna', 20, 'LOC']"
The first westbound exit ramp is in Kebon Jeruk .,"['Kebon Jeruk', (22070, 22071), 'LOC']","['Kebon Jeruk', 36, 'PERSON']"
"In 2015 , he will be succeeded in his Place 3 position by his fellow Republican , Bert Richardson .","['Republican', (22101, 22101), 'ORG']","['Republican', 69, 'LOC']"
"Schadau Castle , Thun","['Schadau Castle', (22139, 22140), 'ORG']","['Schadau Castle', 0, 'PERSON']"
He has also started a relationship with Voodoo .,"['Voodoo', (22153, 22153), 'PERSON']","['Voodoo', 40, 'LOC']"
"He has composed songs with such artists as Dr. Dre , Eminem , 50 Cent , and Carlos Santana .","['Eminem', (22308, 22308), 'PERSON']","['Eminem', 53, 'LOC']"
Toxostoma lecontei '' ( Le Conte 's thrasher ),"['Toxostoma lecontei', (22401, 22402), 'ORG']","['Toxostoma lecontei', 0, 'LOC']"
*Avaxim : made by Sanofi Pasteur .,"['Sanofi Pasteur', (22414, 22415), 'ORG']","['Sanofi Pasteur', 18, 'PERSON']"
*1970 / 71 : ' '' Pembroke Hamilton Club '' ' 1-0 Devonshire Colts,"['Pembroke Hamilton Club', (22428, 22430), 'ORG']","['Pembroke Hamilton Club', 18, 'PERSON']"
Paris ( Chatenay Malabry ) .,"['Chatenay Malabry', (22529, 22530), 'ORG']","['Chatenay Malabry', 8, 'PERSON']"
"Hart]] , Schubert , Schubert , Verdi , Vivaldi","['Schubert', (22535, 22535), 'ORG']","['Schubert', 9, 'LOC']"
"Hart]] , Schubert , Schubert , Verdi , Vivaldi","['Schubert', (22537, 22537), 'ORG']","['Schubert', 9, 'LOC']"
"Hart]] , Schubert , Schubert , Verdi , Vivaldi","['Verdi', (22539, 22539), 'ORG']","['Verdi', 31, 'LOC']"
"Polyoxymethylene plastic , a.k.a .","['Polyoxymethylene plastic', (22627, 22628), 'ORG']","['Polyoxymethylene plastic', 0, 'LOC']"
' '' Sea Games '' ',"['Sea Games', (22688, 22689), 'ORG']","['Sea Games', 5, 'PERSON']"
Me'shell Ndegeocello - The Spirit Music Jamia : Dance of the Infidel '' ( 2005 ),"[""Me'shell Ndegeocello"", (22763, 22764), 'ORG']","[""Me'shell Ndegeocello"", 0, 'PERSON']"
Voters were given the options of either Iqaluit or Rankin Inlet .,"['Rankin Inlet', (22884, 22885), 'LOC']","['Rankin Inlet', 51, 'PERSON']"
BASF Catalysts ( formerly known as Engelhard ),"['Engelhard', (22911, 22911), 'ORG']","['Engelhard', 35, 'LOC']"
"Love Hina '' , Ken Akamatsu","['Love Hina', (22950, 22951), 'ORG']","['Love Hina', 0, 'PERSON']"
' '' Suzuki '' ',"['Suzuki', (22988, 22988), 'ORG']","['Suzuki', 5, 'LOC']"
Drunken Lullabies '' ( 2002 ),"['Drunken Lullabies', (23035, 23036), 'ORG']","['Drunken Lullabies', 0, 'PERSON']"
He shares a flat with MTV News and KISS FM presenter Rickie Haywood Williams .,"['MTV News', (23166, 23167), 'LOC']","['MTV News', 22, 'ORG']"
"Williams v. Taylor '' ,","['Williams v. Taylor', (23252, 23254), 'ORG']","['Williams v. Taylor', 0, 'PERSON']"
'' Xiaolin Chronicles '',"['Xiaolin Chronicles', (23258, 23259), 'ORG']","['Xiaolin Chronicles', 3, 'PERSON']"
The Army Combat Uniform ;,"['Army Combat Uniform', (23400, 23402), 'PERSON']","['Army Combat Uniform', 4, 'ORG']"
2Ã¢ÂÂ0 Ailton ( 63 ),"['Ailton', (23410, 23410), 'ORG']","['Ailton', 9, 'LOC']"
*1993 : Defeated Greenville 3-2 in semifinals ; lost to Birmingham 3-1 in finals .,"['Birmingham', (23438, 23438), 'PERSON']","['Birmingham', 56, 'LOC']"
"In July 2005 , he was signed by Serie B side Pescara , as the first time left Umbria and Tuscany .","['Serie B', (23482, 23483), 'ORG']","['Serie B', 32, 'PERSON']"
"In July 2005 , he was signed by Serie B side Pescara , as the first time left Umbria and Tuscany .","['Pescara', (23485, 23485), 'ORG']","['Pescara', 45, 'LOC']"
It is in the Rochester City School District .,"['Rochester City School District', (23544, 23547), 'LOC']","['Rochester City School District', 13, 'ORG']"
' '' Overijssel '' ',"['Overijssel', (23615, 23615), 'LOC']","['Overijssel', 5, 'ORG']"
'' Almoravids '' ' - Ali ibn Yusuf ( 1106Ã¢ÂÂ1143 ),"['Almoravids', (23697, 23697), 'ORG']","['Almoravids', 3, 'LOC']"
2000 : Chrysalis '' ( Anggun ),"['Chrysalis', (23714, 23714), 'ORG']","['Chrysalis', 7, 'LOC']"
Image : Tatarinov-German-Spring-day-in-Old-Ladoga-new267bw.jpg|Spring in Old Ladoga .,"['Old Ladoga', (23934, 23935), 'LOC']","['Old Ladoga', 73, 'ORG']"
": Doone Kennedy , first woman elected Lord Mayor of Hobart , Tasmania","['Lord Mayor of Hobart', (24049, 24052), 'ORG']","['Lord Mayor of Hobart', 38, 'PERSON']"
He was appointed King 's Counsel in 1951 .,"[""King 's Counsel"", (24179, 24181), 'PERSON']","[""King 's Counsel"", 17, 'ORG']"
"Prince of Wales - George , Prince of Wales , son of Edward VII","['Prince of Wales', (24375, 24377), 'ORG']","['Prince of Wales', 27, 'PERSON']"
"Canley , Tile Hill and Keresley in Coventry","['Tile Hill', (24455, 24456), 'LOC']","['Tile Hill', 9, 'ORG']"
"During the 13th century , it fell to Michael I Ducas , the ruler of the Despotate of Epirus .","['Michael I Ducas', (24600, 24602), 'ORG']","['Michael I Ducas', 37, 'PERSON']"
Quicksilver]] and Scarlet Witch reside .,"['Scarlet Witch', (24614, 24615), 'PERSON']","['Scarlet Witch', 18, 'ORG']"
"All interested students must apply for the program , bringing in many students around Prince William County .","['Prince William County', (24632, 24634), 'ORG']","['Prince William County', 86, 'PERSON']"
"It is found in Angola , Cameroon , the Democratic Republic of Congo , Ghana , Guinea , Ivory Coast , Liberia , Nigeria , Sierra Leone and","['Sierra Leone', (24683, 24684), 'LOC']","['Sierra Leone', 121, 'ORG']"
"On 27 February 1398 , he was nominated Bishop of Lincoln , and on 14 July 1398 , he was consecrated .","['Bishop of Lincoln', (24833, 24835), 'LOC']","['Bishop of Lincoln', 39, 'PERSON']"
Devon Ke Dev ... Mahadev '' as Indrani,"['Devon Ke Dev ... Mahadev', (24866, 24870), 'ORG']","['Devon Ke Dev ... Mahadev', 0, 'PERSON']"
"Univision on 31.2 , GetTV on 31.3","['GetTV', (24902, 24902), 'ORG']","['GetTV', 20, 'LOC']"
"; AT & T Inc . : Owns Audience Network , Root Sports , and GSN .","['Root Sports', (25020, 25021), 'LOC']","['Root Sports', 41, 'PERSON']"
It was published as Insensatez '' in 2004 .,"['Insensatez', (25191, 25191), 'ORG']","['Insensatez', 20, 'LOC']"
"of Edward Hospital in Naperville , Illinois .","['Edward Hospital', (25315, 25316), 'ORG']","['Edward Hospital', 3, 'PERSON']"
He was born in Can Tho .,"['Can Tho', (25461, 25462), 'LOC']","['Can Tho', 15, 'ORG']"
The following year 's Tropics and Meridians '' saw the band compared to Tortoise and The For Carnation .,"['Tortoise', (25481, 25481), 'ORG']","['Tortoise', 72, 'LOC']"
Tor Books announced that Brandon Sanderson had been chosen to finish writing the book .,"['Tor Books', (25664, 25665), 'ORG']","['Tor Books', 0, 'PERSON']"
The Maginot Line : Ouvrage Schoenenbourg,"['Maginot Line', (25779, 25780), 'LOC']","['Maginot Line', 4, 'ORG']"
"They talked on 13 January at Ziguangge , Zhongnanhai in Beijing .","['Zhongnanhai', (25834, 25834), 'ORG']","['Zhongnanhai', 41, 'LOC']"
"On October 19 , an area of low pressure formed in the Bay of Bengal .","['Bay of Bengal', (25921, 25923), 'LOC']","['Bay of Bengal', 54, 'ORG']"
"It belongs to the district of Ambohimahasoa , which is a part of Haute Matsiatra Region .","['Haute Matsiatra Region', (26054, 26056), 'ORG']","['Haute Matsiatra Region', 65, 'LOC']"
"He wrote hundreds of books on Pali language , and was a member of the inaugural staff of Nalanda College , Colombo and a member of the Ananda College staff .","['Pali language', (26181, 26182), 'ORG']","['Pali language', 30, 'LOC']"
Xinjiang Conflict ( ongoing ),"['Xinjiang Conflict', (26206, 26207), 'ORG']","['Xinjiang Conflict', 0, 'PERSON']"
") , followed by TVP2 ( 42 min .","['TVP2', (26254, 26254), 'PERSON']","['TVP2', 16, 'LOC']"
' '' Nour El Sherbini '' ',"['Nour El Sherbini', (26515, 26517), 'PERSON']","['Nour El Sherbini', 5, 'ORG']"
: ''See also Principality of Capua '' .,"['Principality of Capua', (26559, 26561), 'LOC']","['Principality of Capua', 13, 'ORG']"
"Kent Championships , United Kingdom","['Kent Championships', (26591, 26592), 'ORG']","['Kent Championships', 0, 'PERSON']"
"September 14 at Mosport International Raceway in Bowmanville , Ontario","['Mosport International Raceway', (26610, 26612), 'LOC']","['Mosport International Raceway', 16, 'ORG']"
"** Abd al-Karim al-Iryani , Prime Minister of Yemen ( 1998Ã¢ÂÂ2001 )","['Prime Minister of Yemen', (26769, 26772), 'PERSON']","['Prime Minister of Yemen', 28, 'ORG']"
** '' Man-Thing '' Volume 3 1Ã¢ÂÂ8,"['Man-Thing', (27003, 27003), 'PERSON']","['Man-Thing', 6, 'ORG']"
These tests began at RAF Martlesham Heath a month after the initial flights in March 1928 .,"['RAF Martlesham Heath', (27012, 27014), 'LOC']","['RAF Martlesham Heath', 21, 'ORG']"
' '' The Secret River '' Ã¢ÂÂ Sydney Theatre Company '' ',"['Sydney Theatre Company', (27178, 27180), 'PERSON']","['Sydney Theatre Company', 32, 'ORG']"
This is a variant of the Fermi paradox .,"['Fermi paradox', (27326, 27327), 'ORG']","['Fermi paradox', 25, 'LOC']"
Totally Country ( 2002 ) producer,"['Totally Country', (27388, 27389), 'ORG']","['Totally Country', 0, 'PERSON']"
Part of the site is also in the Royal Borough of Kingston upon Thames .,"['Royal Borough of Kingston upon Thames', (27489, 27494), 'LOC']","['Royal Borough of Kingston upon Thames', 32, 'ORG']"
"It was held at Northlands Gardens in Edmonton , Alberta February 23-March 1 .","['Northlands Gardens', (27783, 27784), 'ORG']","['Northlands Gardens', 15, 'LOC']"
