sentence,entities
*September 12 â Cholly Naranjo,[]
In 2006 the band recorded a performance for The Henry Rollins Show .,"[['The Henry Rollins Show', (39835, 39838), 'ORG']]"
Jan Kozak - FC Bunyodkor,"[['Jan Kozak', (39840, 39841), 'ORG']]"
It has also reached the top 40 in Belgium and Denmark .,"[['Belgium', (39853, 39853), 'LOC'], ['Denmark', (39855, 39855), 'LOC']]"
"These waterbodies include the Salish Sea ( Strait of Juan de Fuca , Puget Sound , Strait of Georgia , and connecting waterbodies ) , Queen Charlotte Strait , Queen Charlotte Sound , Hecate Strait , Dixon Entrance , Clarence Strait , Sumner Strait , Chatham Strait , Sitka Sound , Frederick Sound , Stephens Passage and Icy Strait .","[['Salish Sea', (39861, 39862), 'LOC'], ['Strait of Juan de Fuca', (39864, 39868), 'LOC'], ['Puget Sound', (39870, 39871), 'LOC'], ['Strait of Georgia', (39873, 39875), 'LOC'], ['Queen Charlotte Strait', (39882, 39884), 'LOC'], ['Queen Charlotte Sound', (39886, 39888), 'LOC'], ['Hecate Strait', (39890, 39891), 'LOC'], ['Dixon Entrance', (39893, 39894), 'LOC'], ['Clarence Strait', (39896, 39897), 'LOC'], ['Sumner Strait', (39899, 39900), 'LOC'], ['Chatham Strait', (39902, 39903), 'LOC'], ['Sitka Sound', (39905, 39906), 'ORG'], ['Frederick Sound', (39908, 39909), 'LOC'], ['Stephens Passage', (39911, 39912), 'LOC'], ['Icy Strait', (39914, 39915), 'LOC']]"
Tim Duncan ( 23 ),"[['Tim Duncan', (39917, 39918), 'PER']]"
*Clerk : John F. Bacon,[]
' '' HÃ©ctor BarberÃ¡ '' ',"[['HÃ©ctor BarberÃ¡', (39929, 39930), 'PER']]"
1936 Albanian Superliga,[]
who is usually associated with Caernarvonshire .,"[['Caernarvonshire', (39941, 39941), 'ORG']]"
He graduated from Brown University in 1795 .,"[['Brown University', (39946, 39947), 'ORG']]"
He became Bishop of Lismore in 1358 .,"[['Bishop of Lismore', (39953, 39955), 'PER']]"
John Edmund Fitzmaurice ( 1899â1920 ),"[['John Edmund Fitzmaurice', (39959, 39961), 'PER']]"
'' Carolyn '' ( Tommy Collins ) â 2:33,"[['Carolyn', (39966, 39966), 'ORG'], ['Tommy Collins', (39969, 39970), 'PER']]"
Music from the Succubus Club,[]
He was born in PorciÃºncula .,"[['PorciÃºncula', (39983, 39983), 'LOC']]"
"Greene , New York â $ 16,608","[['Greene , New York', (39985, 39988), 'LOC']]"
Deutsche Schule Lissabon,[]
Designed with Henry Hutchinson .,"[['Henry Hutchinson', (39997, 39998), 'PER']]"
'' These Days '' ( 1995 ),"[['These Days', (40001, 40002), 'ORG']]"
"He died in Boston , Massachusetts , on December 4 , 1891 .","[['Boston , Massachusetts', (40010, 40012), 'ORG']]"
"Royal City Curling Club , New Westminster","[['Royal City Curling Club', (40020, 40023), 'ORG']]"
Baseline Station Carlingwood Mall Lebreton Station Hurdman Station,"[['Baseline Station', (40027, 40028), 'ORG'], ['Carlingwood Mall', (40029, 40030), 'ORG'], ['Lebreton Station', (40031, 40032), 'ORG']]"
Communes of the Sarthe department,[]
24 Caesar Belser S,"[['Caesar Belser', (40041, 40042), 'PER']]"
*2012 : Calvin Harris feat .,"[['Calvin Harris', (40046, 40047), 'PER']]"
"St. Jude College , Cavite",[]
"He died , aged 44 , in Paris .","[['Paris', (40062, 40062), 'LOC']]"
: : : ''B. '' ser. ''Tetragonae '',[]
Turtle Rock Studios,[]
Central Piedmont Community College,[]
It was the home of Congressmen Charles R. Thomas ( 1827-1891 ) and his son Charles R. Thomas ( 1861â1931 ) from 1873 to 1925 .,"[['Charles R. Thomas ( 1827-1891 )', (40085, 40090), 'ORG'], ['Charles R. Thomas ( 1861â\x80\x931931 )', (40094, 40099), 'PER']]"
Ãamonn O'Doherty ( republican ),[]
"JeÅ¼e , Warmian-Masurian Voivodeship",[]
He was born in Burnley .,"[['Burnley', (40118, 40118), 'LOC']]"
"It is found in Burundi , Kenya , South Sudan , Tanzania , and Uganda .","[['Burundi', (40124, 40124), 'LOC'], ['Kenya', (40126, 40126), 'LOC'], ['South Sudan', (40128, 40129), 'LOC'], ['Tanzania', (40131, 40131), 'LOC'], ['Uganda', (40134, 40134), 'LOC']]"
"She eventually played for Julius Baker , which led to an audition for the Juilliard School .","[['Julius Baker', (40140, 40141), 'PER'], ['Juilliard School', (40150, 40151), 'ORG']]"
He worked as a lawyer in Turku from 1892-1916 .,"[['Turku', (40159, 40159), 'LOC']]"
"Glenwood , Nebraska",[]
Step Into the Dark '',"[['Step Into the Dark', (40166, 40169), 'ORG']]"
Lowline ( park ),[]
' '' Juan Carlos Ferrero '' ',"[['Juan Carlos Ferrero', (40177, 40179), 'PER']]"
It was coached by Dave Gavitt .,"[['Dave Gavitt', (40186, 40187), 'PER']]"
Donna Allen - `` Serious '',"[['Donna Allen', (40189, 40190), 'PER']]"
"Monster Musume , Vol .","[['Monster Musume', (40195, 40196), 'ORG']]"
He started with Tadamon Sour and spent eight years .,"[['Tadamon Sour', (40203, 40204), 'ORG']]"
Admiralty Islands to New Guinea,"[['Admiralty Islands', (40210, 40211), 'LOC']]"
"The Te Rata Bridge had been designed and built by the New Zealand Army , which disputed claims that the collapse was caused by poor design and construction .","[['Te Rata Bridge', (40216, 40218), 'ORG'], ['New Zealand Army', (40226, 40228), 'ORG']]"
Church of St. Josaphat in Lublin,[]
Mossel Bay Local Municipality,[]
Oxyura ferruginea '' ( Andean duck ),"[['Oxyura ferruginea', (40254, 40255), 'ORG'], ['Andean duck', (40258, 40259), 'ORG']]"
He was born in Athens and spent his childhood in Darmstadt .,"[['Athens', (40265, 40265), 'LOC'], ['Darmstadt', (40271, 40271), 'LOC']]"
JosÃ© Reyes Ferriz,[]
"He was also very much inspired by the poems of John Keats , to whom he dedicated a number of his poems .","[['John Keats', (40286, 40287), 'PER']]"
"Tashkent State Economic University , Uzbekistan","[['Tashkent State Economic University', (40299, 40302), 'ORG']]"
Huddersfield railway station,[]
It is found in Hungary and Romania .,"[['Hungary', (40312, 40312), 'LOC'], ['Romania', (40314, 40314), 'LOC']]"
Wisconsin Restaurant Association Education Foundation,[]
They were confirmed again in the early 17th century by King MÃ¡tyÃ¡s II of Hungary .,"[['King MÃ¡tyÃ¡s II of Hungary', (40331, 40335), 'PER']]"
DHS Management Directorate,[]
Hu Yun ' '' 1â1,"[['Hu Yun', (40340, 40341), 'PER']]"
''He 's Gone '' - Jerry Garcia,[]
It is found in Kashmir .,"[['Kashmir', (40356, 40356), 'LOC']]"
United States Trade and Development Agency,[]
Elisabeth-Anne de Massy,[]
'' The Underdog Show '' ( 2008 ) â Contestant,"[['The Underdog Show', (40368, 40370), 'ORG']]"
`` Guidance '' ( featuring Amel Larrieux ) â 4:06,"[['Amel Larrieux', (40382, 40383), 'PER']]"
' '' Rio Haryanto '' ',"[['Rio Haryanto', (40389, 40390), 'PER']]"
Alexander Military Law Academy ( founded 1867 ),"[['Alexander Military Law Academy', (40393, 40396), 'ORG']]"
Heidkopf ( Wiehen Hills ),[]
"2nd Battalion , York and Lancaster Regiment",[]
** Battle of Drocourt-Queant Line 2â3 September 1918,"[['Battle of Drocourt-Queant Line', (40414, 40417), 'ORG']]"
Austria Wien 2â2 Werder Bremen,"[['Austria Wien', (40421, 40422), 'ORG']]"
"Imboden , Arkansas â $ 14,361","[['Imboden , Arkansas', (40426, 40428), 'LOC']]"
Communes of the Guadeloupe department,[]
"Stigler â $ 16,293","[['Stigler', (40437, 40437), 'LOC']]"
Marisa LetÃ­cia Lula da Silva,[]
1973 Rally of Morocco,[]
Daniel Webster Whittle,[]
' '' Nikola MektiÄ '' ' ' '' Antonio VeiÄ '' ',"[['Nikola MektiÄ\x87', (40455, 40456), 'PER'], ['Antonio VeiÄ\x87', (40461, 40462), 'PER']]"
' '' LoÃ¯c Duval '' ',"[['LoÃ¯c Duval', (40467, 40468), 'PER']]"
"He then tells her potential employer , Paul Robinson ( Stefan Dennis ) , that she is pregnant costing her the job .","[['Paul Robinson', (40478, 40479), 'PER'], ['Stefan Dennis', (40481, 40482), 'PER']]"
Among Beggars and Thieves,[]
"''at Ford Field , Detroit , Michigan ''","[['Ford Field', (40499, 40500), 'ORG'], ['Detroit , Michigan', (40502, 40504), 'ORG']]"
"** General Court ( European Union ) , established in 1989","[['General Court ( European Union )', (40507, 40512), 'ORG']]"
Richard G. Folsom,[]
NSCP has been controversial since it was announced by John Howard in 2006 .,"[['John Howard', (40529, 40530), 'PER']]"
'' Capperia meyi '',"[['Capperia meyi', (40535, 40536), 'LOC']]"
George Augustus Henry Sala,[]
** Vietnam during the Second World War,[]
"In the Wake of Poseidon '' ( 1970 ) â words , production","[['In the Wake of Poseidon', (40549, 40553), 'ORG']]"
Portsmouth Rugby Football Club,[]
"Dennis O'Neil , Neal Adams","[[""Dennis O'Neil"", (40566, 40567), 'PER']]"
Cheyenne-Eagle Butte School,[]
Jabal es SaaÃ¯dÃ©,[]
The System Has Failed,[]
President of Israel : Shimon Peres,"[['President of Israel', (40581, 40583), 'ORG']]"
"Dan Smith ( footballer , born 1986 )",[]
â¢ RujiÅ¡nik ( 559 ),"[['RujiÅ¡nik', (40596, 40596), 'LOC']]"
`` Beauty and a Beat '' ( JD4 ),"[['Beauty and a Beat', (40601, 40604), 'ORG']]"
"He died at Avon Gorge , Bristol on 4 August 1988 .","[['Avon Gorge', (40612, 40613), 'LOC'], ['Bristol', (40615, 40615), 'LOC']]"
E-40 and Jason Biggs ),"[['E-40', (40621, 40621), 'PER'], ['Jason Biggs', (40623, 40624), 'PER']]"
'' For You I Will ( Confidence ) '' â Teddy Geiger,"[['For You I Will ( Confidence )', (40627, 40633), 'ORG']]"
Leonardo Esteves de NÃ¡poles,[]
*January 16 â Zelous Wheeler,[]
"IrmakbaÅÄ± , YÃ¼reÄir",[]
Philippine Sea Frontier,[]
'' This Girl 's In Love With You '' â Dionne Warwick,"[[""This Girl 's In Love With You"", (40654, 40660), 'ORG']]"
Aeon ( band ),[]
F.C. Kibi International University Charme,[]
Stanley Unwin ( 1911â2002 ),"[['Stanley Unwin', (40674, 40675), 'PER']]"
"Salem Township , Highland County , Ohio",[]
"'' Phycita strigata '' ( Staudinger , 1879 )","[['Phycita strigata', (40687, 40688), 'LOC']]"
Rattan Singh Ajnala,[]
Her partner is writer Terri Jentz .,"[['Terri Jentz', (40702, 40703), 'PER']]"
The Lonely Island ( ft. Rihanna ),"[['The Lonely Island', (40705, 40707), 'ORG'], ['Rihanna', (40710, 40710), 'PER']]"
"Vineyard Haven , MA Micropolitan Statistical Area",[]
*1969 : Polowanie na muchy '',"[['Polowanie na muchy', (40721, 40723), 'ORG']]"
"/ Pirae , French Polynesia","[['Pirae', (40726, 40726), 'LOC']]"
Shearon Harris Nuclear Power Plant in New Hill,"[['Shearon Harris Nuclear Power Plant', (40730, 40734), 'ORG']]"
James Robert Smith ( aviator ) ( 1891â ?,"[['James Robert Smith ( aviator )', (40738, 40743), 'PER']]"
Self Made Vol. 2 '',"[['Self Made Vol. 2', (40747, 40750), 'ORG']]"
"Chicago , Milwaukee and St. Paul Railway",[]
"Delaware Water Gap , New Jersey and Pennsylvania , United States","[['Delaware Water Gap', (40759, 40761), 'LOC'], ['New Jersey', (40763, 40764), 'LOC'], ['Pennsylvania', (40766, 40766), 'LOC']]"
Boston and Maine Corporation is purchased by Guilford Transportation Industries .,"[['Boston and Maine Corporation', (40770, 40773), 'LOC'], ['Guilford Transportation Industries', (40777, 40779), 'ORG']]"
Eastern College Athletic Conference / Great Northeast Athletic Conference / North Atlantic Conference,"[['Eastern College Athletic Conference', (40781, 40784), 'ORG'], ['Great Northeast Athletic Conference', (40786, 40789), 'LOC']]"
In 2012 he became a fellow of the American Mathematical Society .,"[['American Mathematical Society', (40802, 40804), 'ORG']]"
Electoral district of Mosman,[]
"Jennifer Jo Cobb , No .","[['Jennifer Jo Cobb', (40810, 40812), 'PER']]"
' '' Tim Worrell '' ' ( 2â2 ),"[['Tim Worrell', (40818, 40819), 'PER']]"
"United States : Henry Wadsworth Longfellow , Ralph Waldo Emerson , Edgar Allan Poe","[['United States', (40825, 40826), 'LOC'], ['Henry Wadsworth Longfellow', (40828, 40830), 'PER'], ['Ralph Waldo Emerson', (40832, 40834), 'PER']]"
MosqueâCathedral of CÃ³rdoba,[]
' '' Winnipeg Blue Bombers '' ',"[['Winnipeg Blue Bombers', (40844, 40846), 'ORG']]"
George Grosz : Untitled ( 1920 ),"[['George Grosz', (40849, 40850), 'PER']]"
'' Argentine Primera DivisiÃ³n : 1 '' ',"[['Argentine Primera DivisiÃ³n', (40857, 40859), 'ORG']]"
Cultural Association of the DDR -,"[['Cultural Association of the DDR', (40864, 40868), 'ORG']]"
"**Monarch - Sultan Iskandar , Yang di-Pertuan Agong of Malaysia ( 1984â1989 )","[['Sultan Iskandar', (40872, 40873), 'PER'], ['Yang di-Pertuan Agong of Malaysia', (40875, 40879), 'ORG']]"
FÄtimah bint MÅ«sÄ,[]
Jelena JankoviÄ / Shahar Peer,"[['Jelena JankoviÄ\x87', (40886, 40887), 'PER']]"
"National Register of Historic Places listings in Southampton County , Virginia",[]
Similar in size to Iris cristata '' .,"[['Iris cristata', (40906, 40907), 'LOC']]"
' '' Katherine Brunt '' ',"[['Katherine Brunt', (40912, 40913), 'PER']]"
"Campion College , Kingston","[['Campion College', (40916, 40917), 'ORG']]"
' '' Kevin Curren Gary Muller ' '' 7â6 6â4,"[['Kevin Curren', (40922, 40923), 'PER'], ['Gary Muller', (40924, 40925), 'PER']]"
Franny 's Feet '',"[[""Franny 's Feet"", (40930, 40932), 'ORG']]"
Chains]] '' ( Tina Arena ),"[['Tina Arena', (40937, 40938), 'PER']]"
National Art Honor Society,[]
Sandy Hook Elementary School shooting,[]
Communes of the Vaucluse department,[]
She retired at age 41 to Mackinac Island .,"[['Mackinac Island', (40960, 40961), 'LOC']]"
Lake Pleasant ( Washington ),[]
' '' Brian Huggett '' ',"[['Brian Huggett', (40970, 40971), 'PER']]"
"Roseate tern , ''Sterna dougallii ''","[['Roseate tern', (40974, 40975), 'LOC']]"
Startin ' from Scratch : How a Thug Was Born '',"[[""Startin ' from Scratch : How a Thug Was Born"", (40980, 40989), 'ORG']]"
"*1780 - Senyavin , Dmitriy Nikolayevich",[]
"Tetsuji Nakamura , member of the House of Representatives","[['Tetsuji Nakamura', (40997, 40998), 'PER']]"
He was born in Delhi .,"[['Delhi', (41010, 41010), 'LOC']]"
"Hayes Township , Swift County , Minnesota",[]
The Network Chart Show '',"[['The Network Chart Show', (41019, 41022), 'ORG']]"
Fort Dodge ( United States Army Post ),[]
"It was released on January 18 , 2010 in the United Kingdom on Polydor Records .","[['United Kingdom', (41042, 41043), 'LOC'], ['Polydor Records', (41045, 41046), 'ORG']]"
"The Palace]] , St Kilda , Victoria",[]
"UEFA Women 's Cup : Winner ( 3 ) 2001â02 , 2005â06 , 2007â08 ; Runner-up ( 1 ) 2003â04","[[""UEFA Women 's Cup"", (41055, 41058), 'ORG'], ['2001â\x80\x9302', (41064, 41064), 'LOC'], ['2005â\x80\x9306', (41066, 41066), 'LOC'], ['2007â\x80\x9308', (41068, 41068), 'LOC']]"
"In contrast , the Portuguese band Moonspell had a brief tenure in the genre .","[['Portuguese', (41079, 41079), 'LOC'], ['Moonspell', (41081, 41081), 'ORG']]"
"Brescia University ( Owensboro , Kentucky ) Official site","[['Brescia University', (41090, 41091), 'ORG'], ['Owensboro , Kentucky', (41093, 41095), 'LOC']]"
Lamproptera curius walkeri '',"[['Lamproptera curius walkeri', (41099, 41101), 'LOC']]"
Mark Fisher ( architect ),[]
1898 - Albert Peter Low,[]
"Montagu Corry , 1st Baron Rowton",[]
Anders Oechsler ( REtires ),"[['Anders Oechsler', (41119, 41120), 'PER']]"
LaÃ¢youne-Boujdour-Sakia El Hamra,[]
`` Psycho Circus '' ( edit ) ( from Psycho Circus '' ),"[['Psycho Circus', (41128, 41129), 'ORG'], ['Psycho Circus', (41136, 41137), 'ORG']]"
"It is found from Costa Rica to Brazil , Bolivia , Colombia , Ecuador , Venezuela , French Guiana , Guyana , Paraguay and Peru .","[['Costa Rica', (41144, 41145), 'LOC'], ['Brazil', (41147, 41147), 'LOC'], ['Bolivia', (41149, 41149), 'LOC'], ['Colombia', (41151, 41151), 'LOC'], ['Ecuador', (41153, 41153), 'LOC'], ['Venezuela', (41155, 41155), 'LOC'], ['French Guiana', (41157, 41158), 'LOC'], ['Guyana', (41160, 41160), 'LOC'], ['Paraguay', (41162, 41162), 'LOC'], ['Peru', (41164, 41164), 'LOC']]"
"Atchison , Topeka and Santa Fe Railway",[]
"Wushan , Hunan",[]
' '' Ducati '' ',"[['Ducati', (41178, 41178), 'ORG']]"
'' Ryukyu Kingdom '' ' â ShÅ Hashi ( 1429â1439 ),"[['Ryukyu Kingdom', (41182, 41183), 'LOC'], ['ShÅ\x8d Hashi', (41187, 41188), 'PER']]"
F. S. L. Lyons,[]
Campeonato Regional Centro,[]
Santa Fe Depot ( San Diego ),[]
Mutiny Within '' ( 2010 ),"[['Mutiny Within', (41206, 41207), 'ORG']]"
Malacologia '' ' '' 49 '' ' ( 1 ) : 121-188 .,"[['Malacologia', (41212, 41212), 'ORG']]"
"*1995 â Fredrik Letzler , SpÃ¥rvÃ¤gens SF","[['Fredrik Letzler', (41227, 41228), 'PER']]"
Head coach : Ljubinko DruloviÄ,[]
"Paul O. Husting ( D ) , until October 21 , 1917 ( died )","[['Paul O. Husting', (41237, 41239), 'PER']]"
Transcaucasian Socialist Federative Soviet Republic,[]
1-0 Roberto Donadoni ( 49 ),"[['Roberto Donadoni', (41258, 41259), 'PER']]"
Kooyong ( City of Stonnington ) ( 7 km from Melbourne ),"[['Kooyong', (41263, 41263), 'ORG'], ['City of Stonnington', (41265, 41267), 'LOC'], ['Melbourne', (41273, 41273), 'LOC']]"
1978 Southern Conference Men 's Basketball Tournament,[]
"Pierson , Illinois",[]
FC Anzhi-2 Makhachkala,[]
"The Fifth Republic was born on October 4 , 1958 .","[['Fifth Republic', (41289, 41290), 'LOC']]"
"JosÃ© Castel 1737 ( Tudela , Navarre ) â 1807","[['JosÃ© Castel', (41299, 41300), 'PER'], ['Tudela , Navarre', (41303, 41305), 'LOC']]"
He also set the ACC single-season completion percentage record in 2007 .,"[['ACC', (41313, 41313), 'ORG']]"
*June 22 - APPP is created,"[['APPP', (41324, 41324), 'ORG']]"
"' '' Farm & Fireside / Country Home '' ' '' ( 1878â1939 ) : 11-1923 , 8-1930 .","[['Farm & Fireside / Country Home', (41329, 41334), 'ORG']]"
1 Corcomroe and The Burren,"[['Corcomroe', (41347, 41347), 'ORG']]"
' '' Aude ( 11 ) ' '',"[['Aude', (41353, 41353), 'LOC']]"
Vince Carter ( 25 ),"[['Vince Carter', (41359, 41360), 'PER']]"
''WEC 21 '' 's main event was a fight between Rob McCullough and Ryan Healy .,"[['Rob McCullough', (41374, 41375), 'PER'], ['Ryan Healy', (41377, 41378), 'PER']]"
Dan Green ( artist ),[]
"Saint Pius X Catholic High School ( Kansas City , Missouri )",[]
=== Lil Wayne - I Am Not a Human Being '' ===,"[['Lil Wayne', (41398, 41399), 'PER'], ['I Am Not a Human Being', (41401, 41406), 'ORG']]"
"Nowon-gu , South Korea","[['Nowon-gu', (41409, 41409), 'ORG']]"
M.Tech in Computer Science and Engineering ( CSE ) - 2 years [Approved intake - 18],"[['Computer Science and Engineering', (41415, 41418), 'ORG']]"
"'' Platylesches galesa '' ( Hewitson , 1877 )","[['Platylesches galesa', (41430, 41431), 'LOC']]"
Adolf Hitler ( the FÃ¼hrer ) ( Nazi Party ),"[['Adolf Hitler', (41438, 41439), 'PER'], ['FÃ¼hrer', (41442, 41442), 'PER'], ['Nazi Party', (41445, 41446), 'ORG']]"
List of photo sharing websites,[]
He was one of the first play by play voices for the Ultimate Fighting Championship ( UFC ) from 1994 to 1997 .,"[['Ultimate Fighting Championship', (41465, 41467), 'ORG'], ['UFC', (41469, 41469), 'ORG']]"
"Ripley , Mississippi",[]
' '' Mark Skaife '' ',"[['Mark Skaife', (41481, 41482), 'PER']]"
Airedale Line to Skipton and,"[['Airedale Line', (41485, 41486), 'ORG'], ['Skipton', (41488, 41488), 'LOC']]"
"'' Epischnia prodromella '' ( HÃ¼bner , 1799 )","[['Epischnia prodromella', (41491, 41492), 'LOC']]"
Darshan Jariwala - Mahatma Gandhi,"[['Darshan Jariwala', (41499, 41500), 'PER']]"
Peter Vaughan ( bishop ),[]
`` You Make Me Wan na ... '',"[['You Make Me Wan na ...', (41510, 41515), 'ORG']]"
James J. Crawford ( 1871â ?,"[['James J. Crawford', (41517, 41519), 'PER']]"
"University of Traditional Medicine , Mandalay",[]
Bayhealth Emergency Center - Smyrna,"[['Bayhealth Emergency Center', (41529, 41531), 'ORG']]"
"Its last assignment was with the 1st Missile Division , based at Redstone Arsenal .","[['1st Missile Division', (41540, 41542), 'ORG'], ['Redstone Arsenal', (41546, 41547), 'ORG']]"
Bizon ( disambiguation ),[]
'' Desmia decemmaculalis '',"[['Desmia decemmaculalis', (41554, 41555), 'LOC']]"
"Angels Brought Me Here - Carrie Underwood , November 14 , 2010","[['Angels Brought Me Here', (41557, 41560), 'ORG'], ['Carrie Underwood', (41562, 41563), 'PER']]"
JosÃ© Ignacio Salafranca SÃ¡nchez-Neyra,[]
"ParanÃ¡ River , between Brazil and Paraguay","[['ParanÃ¡ River', (41573, 41574), 'LOC'], ['Brazil', (41577, 41577), 'LOC']]"
"`` Jezebel '' ( Wayne Shanklin , Charles Aznavour ) - 3:23","[['Jezebel', (41581, 41581), 'ORG'], ['Wayne Shanklin', (41584, 41585), 'PER'], ['Charles Aznavour', (41587, 41588), 'PER']]"
"4 - Robert J. Frankel ( 2002 , 2003 , 2004 , 2005 )","[['Robert J. Frankel', (41594, 41596), 'PER']]"
He returned with him to New York .,"[['New York', (41611, 41612), 'LOC']]"
Joe E. Lewis ( 1902â1971 ) â comedian,"[['Joe E. Lewis', (41614, 41616), 'PER']]"
"Adel Taarabt â Tottenham Hotspur , Queens Park Rangers , Fulham â 2006â09 , 2011â15","[['Adel Taarabt', (41622, 41623), 'PER'], ['Tottenham Hotspur', (41625, 41626), 'ORG'], ['Queens Park Rangers', (41628, 41630), 'ORG'], ['Fulham', (41632, 41632), 'ORG']]"
' '' Kentucky '' ',"[['Kentucky', (41639, 41639), 'LOC']]"
Russian Space Forces,[]
"Ivanovci , population 460","[['Ivanovci', (41645, 41645), 'LOC']]"
He was recommended for this position by Erwin SchrÃ¶dinger and Leonid Mandelstam .,"[['Erwin SchrÃ¶dinger', (41656, 41657), 'PER'], ['Leonid Mandelstam', (41659, 41660), 'PER']]"
'' Childrens Hospital '' â 25 episodes,"[['Childrens Hospital', (41663, 41664), 'ORG']]"
"** Steven St. Croix , ''Undertow ''","[['Steven St. Croix', (41670, 41672), 'PER']]"
He died in Oxford on 23 July 2002 .,"[['Oxford', (41679, 41679), 'LOC']]"
"Rose Lake Township , Michigan",[]
"Madison , Wisconsin",[]
"De Witte Holevoet , Scherpenzeel .","[['De Witte Holevoet', (41693, 41695), 'ORG'], ['Scherpenzeel', (41697, 41697), 'LOC']]"
"- '' Maurice , the Prince of Orange .","[['Maurice , the Prince of Orange', (41701, 41706), 'PER']]"
The production did consultation and post-show talkbacks with Independent Jewish Voices .,"[['Independent Jewish Voices', (41716, 41718), 'ORG']]"
Kevin Bleyer ( 2005â2013 ),"[['Kevin Bleyer', (41720, 41721), 'PER']]"
Communes of the Dordogne department,[]
Translated by Anthea Bell and Derek Hockridge .,"[['Anthea Bell', (41732, 41733), 'PER'], ['Derek Hockridge', (41735, 41736), 'PER']]"
The BancorpSouth Arena opened in 1993 and is a venue for large events .,"[['BancorpSouth Arena', (41739, 41740), 'LOC']]"
Israeli casualties of war,[]
The Mount Airy News,[]
Jakub SzczawiÅski ( 1620â1637 ),"[['Jakub SzczawiÅ\x84ski', (41760, 41761), 'PER']]"
"Thady Wyndham-Quin , 7th Earl of Dunraven and Mount-Earl",[]
VVD ( 2 seats ),"[['VVD', (41774, 41774), 'ORG']]"
' '' Dick Gephardt ( D ) Unopposed '' ',"[['Dick Gephardt', (41781, 41782), 'PER']]"
Susan Rasinski McCaw â Political appointee,"[['Susan Rasinski McCaw', (41789, 41791), 'PER']]"
"Frederick Reiken , novelist .","[['Frederick Reiken', (41795, 41796), 'PER']]"
"Hodgkins , Illinois â $ 17,920","[['Hodgkins , Illinois', (41800, 41802), 'LOC']]"
"' '' London '' ' , United Kingdom â ''2009 ''","[['London', (41808, 41808), 'LOC'], ['United Kingdom', (41812, 41813), 'LOC']]"
L. Frank Baum,[]
San Jose Mercury News '',"[['San Jose Mercury News', (41820, 41823), 'ORG']]"
*1987 : with John Otway,[]
It was ultimately acquired by ConAgra Foods .,"[['ConAgra Foods', (41835, 41836), 'ORG']]"
** Diocese of RzeszÃ³w .,"[['Diocese of RzeszÃ³w', (41839, 41841), 'LOC']]"
Nevada State Route 647,[]
To Chicago Blackhawks Nikita Alexeev,"[['Chicago Blackhawks', (41848, 41849), 'ORG']]"
"On July 27 , 1995 he was traded ( with McKay Christensen , Andrew Lorraine and John Snyder ) to the Chicago White Sox for Jim Abbott and Tim Fortugno .","[['McKay Christensen', (41862, 41863), 'PER'], ['Andrew Lorraine', (41865, 41866), 'PER'], ['John Snyder', (41868, 41869), 'PER'], ['Chicago White Sox', (41873, 41875), 'ORG'], ['Jim Abbott', (41877, 41878), 'PER'], ['Tim Fortugno', (41880, 41881), 'PER']]"
"Guillaume , Hereditary Grand Duke of Luxembourg :","[['Guillaume , Hereditary Grand Duke of Luxembourg', (41883, 41889), 'PER']]"
Later he took the degree of D.D . at the Sorbonne .,"[['D.D .', (41897, 41898), 'ORG'], ['Sorbonne', (41901, 41901), 'ORG']]"
1-2 Stefano Borgonovo ( 41 ),"[['Stefano Borgonovo', (41904, 41905), 'PER']]"
Mary Corinna Putnam Jacobi,[]
Jahlil Okafor ( 21 ),"[['Jahlil Okafor', (41913, 41914), 'PER']]"
Islamic State of Iraq,[]
Gwyneth Strong as Cassandra Trotter,"[['Gwyneth Strong', (41922, 41923), 'PER']]"
Spanish conquest of Peru,[]
Kevin Harvick finished second and his Richard Childress Racing teammate Jeff Burton came in third .,"[['Kevin Harvick', (41931, 41932), 'PER'], ['Richard Childress Racing', (41937, 41939), 'ORG'], ['Jeff Burton', (41941, 41942), 'PER']]"
FranÃ§ois-RenÃ© de Chateaubriand,[]
' '' Christina Wirth '' ',"[['Christina Wirth', (41952, 41953), 'PER']]"
KlaipÄda District Municipality,[]
"''Ghoti '' is often cited to support the English spelling reform , and is often attributed to George Bernard Shaw , a supporter of this cause .","[['English spelling reform', (41967, 41969), 'ORG'], ['George Bernard Shaw', (41976, 41978), 'PER']]"
2007 IBSA World Championships and Games,[]
Arlington ( NJT station ),[]
The Hourly Radio,[]
Windsor ( 1912â1992 ),"[['Windsor', (42000, 42000), 'LOC']]"
Global Wars ( 2014 ),[]
( See Canadian allocations changes under NARBA .,"[['Canadian allocations changes under NARBA', (42011, 42015), 'ORG']]"
' '' ''Scott 3 '' ' '' is the third solo album by singer songwriter Scott Walker .,"[['Scott Walker', (42032, 42033), 'PER']]"
Relegated to the 3. Divisjon,[]
20px Grand Duke of Oldenburg,[]
`` Ai n't Too Proud to Beg '',"[[""Ai n't Too Proud to Beg"", (42046, 42051), 'ORG']]"
From 1 January 1993 after the Dissolution of Czechoslovakia,[]
'' Uganda '' ',"[['Uganda', (42063, 42063), 'LOC']]"
"Mount Olive , Virginia",[]
It is found in Colombia .,"[['Colombia', (42074, 42074), 'LOC']]"
1st Cavalry Division ( United Kingdom ),[]
